age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
43,218006,0,1,Full-time,57737,36,0.01794589970553293,678,1
58,123077,14,2,Full-time,32424,36,0.18208750970053733,850,1
41,24918,12,4,Full-time,109154,36,1.5180364967551512,735,0
43,125653,18,1,Full-time,94793,48,0.1744451221705846,681,1
58,37869,42,1,Part-time,17810,24,0.6482432930001054,759,1
42,20000,48,0,Self-employed,109154,24,2.0,425,0
42,84052,10,2,Full-time,5000,36,1.1524519733306884,425,0
48,144170,23,3,Full-time,5000,60,0.01794589970553293,832,1
41,39164,33,2,Full-time,109154,24,0.10134226759696519,733,1
27,27579,18,4,Full-time,51974,48,0.01794589970553293,584,1
27,23822,40,1,Part-time,47163,48,0.3413914293387178,758,0
50,32520,45,0,Full-time,5000,48,1.1108577371017365,523,1
24,79160,30,4,Full-time,66693,48,0.6093307365243618,814,1
47,28238,47,4,Full-time,32115,24,0.3096259440579037,519,1
34,29746,18,2,Full-time,62829,36,0.5511326042904913,674,1
53,88866,10,1,Self-employed,97175,36,0.46772625108506954,491,1
29,41263,16,4,Part-time,99656,48,0.15239347695525013,850,1
38,44430,26,1,Full-time,73928,48,0.01794589970553293,486,1
76,43993,29,4,Full-time,85350,36,1.419082016078248,588,1
23,80920,18,3,Part-time,109154,36,0.30111742023153076,531,0
56,20000,17,2,Part-time,39888,24,0.46781296201666733,430,1
50,226254,25,0,Self-employed,109154,36,1.169947349305677,425,1
34,27866,46,3,Full-time,60756,48,0.7133265218278377,731,1
31,232387,40,2,Full-time,109154,48,1.7756456681739605,430,1
47,114121,30,2,Full-time,31687,24,0.22225839586008045,540,1
22,193603,25,2,Full-time,25066,48,0.3023648462995544,673,1
42,42918,15,4,Full-time,17066,48,0.08082517431932922,598,1
57,20000,41,1,Part-time,109154,24,0.5403660852466174,722,0
30,20000,32,2,Self-employed,29512,36,0.2890202323340316,711,1
40,63386,13,1,Full-time,109154,60,0.4262023436091344,795,1
61,20000,0,4,Full-time,109154,48,0.8222050697293911,599,1
28,20000,0,2,Full-time,33661,36,0.05557930367480217,671,0
47,130210,2,3,Full-time,105983,60,0.2275689364938127,638,1
29,67433,15,1,Full-time,87671,48,0.5045610180167316,810,1
47,64800,19,0,Full-time,5000,48,0.01794589970553293,430,0
57,139428,13,4,Full-time,43100,36,0.3288522372478977,850,1
42,46481,40,1,Part-time,62705,24,2.0,564,0
40,81540,24,4,Full-time,109154,12,0.01794589970553293,425,0
36,232387,20,1,Self-employed,16105,36,1.6463521600641582,457,1
65,80611,46,1,Full-time,65871,48,0.37590783723115295,425,1
64,29063,49,3,Unemployed,67558,48,0.06634950338919551,589,0
39,20000,20,4,Full-time,109154,36,0.9290905834412289,660,0
33,232387,28,1,Full-time,109154,48,0.09759147220268595,649,0
40,20000,12,4,Full-time,5000,12,1.3061956825481396,564,1
34,71431,50,1,Full-time,39920,48,0.01794589970553293,799,1
39,101237,11,0,Self-employed,104492,60,0.38803341711495276,770,1
41,42692,0,1,Self-employed,61442,48,0.5548556903290275,600,1
42,139563,3,0,Full-time,26869,48,0.05904717212089995,850,1
