age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
33,32013,20,0,Full-time,46650,60,0.7350883281971844,720,1
67,104340,10,5,Full-time,54290,36,0.8819223792029118,503,0
44,85944,26,2,Full-time,28101,24,0.01794589970553293,631,1
37,196932,0,1,Full-time,58222,36,0.03272348957255075,818,1
58,20000,20,3,Full-time,49897,24,0.5221352662999503,425,1
76,20000,8,2,Part-time,66178,36,0.49229945999407904,425,1
30,79871,22,4,Full-time,56931,36,0.8097037465383639,756,0
42,22239,12,3,Full-time,29863,60,0.2952542156939386,691,1
38,59574,20,1,Full-time,45175,36,0.01794589970553293,596,1
58,20000,21,2,Full-time,48427,36,0.01794589970553293,425,1
38,74743,11,2,Full-time,23977,12,0.07871086215334805,773,0
47,20000,15,4,Part-time,109154,48,0.27462587568378627,517,0
58,33639,18,3,Full-time,34352,48,0.01794589970553293,776,1
21,25689,14,1,Full-time,109154,24,0.761065687908677,425,0
53,50027,0,2,Full-time,31474,36,0.21736831137913923,646,1
76,55780,22,4,Part-time,71947,36,0.15952231941200545,833,1
32,20000,26,2,Full-time,106656,36,0.44374326658051133,740,0
48,20000,0,4,Full-time,109154,48,0.12907464121996742,585,0
69,42489,27,4,Part-time,9858,36,0.9012460969169166,788,1
55,36375,24,0,Full-time,44735,36,0.28058449993440926,642,0
43,53917,12,2,Full-time,109154,36,0.01794589970553293,765,1
70,20000,43,4,Full-time,96122,12,0.01794589970553293,425,0
32,126903,17,2,Full-time,66176,48,0.01794589970553293,661,1
53,129263,8,2,Full-time,20916,48,0.01794589970553293,809,1
42,20000,12,1,Full-time,76171,36,1.082533622138732,425,0
27,170184,13,1,Full-time,109154,36,0.04983514891116325,599,1
33,32779,27,2,Part-time,90610,36,0.6761690984793698,669,1
24,20000,23,2,Full-time,89993,36,0.04478314283139695,425,0
39,90371,20,1,Full-time,66744,24,0.01794589970553293,646,1
51,25230,17,5,Full-time,109028,36,0.5978342188185732,697,0
33,86646,27,0,Self-employed,16311,36,0.23537270966388651,769,0
38,28045,22,2,Self-employed,78315,24,0.22347178993089853,839,1
52,53649,9,1,Full-time,11696,36,0.24005908320486624,840,1
70,54347,27,1,Full-time,87077,24,0.09282407117826791,458,1
44,20000,34,2,Full-time,36113,36,1.0345294452036211,695,0
42,38150,27,4,Part-time,91375,36,0.13607809401786847,717,1
31,74882,11,3,Self-employed,5000,36,0.1613858915873051,780,0
27,75226,7,2,Full-time,18075,36,0.7082516867188617,720,1
43,20000,0,3,Part-time,85240,48,0.3847136866092874,850,1
40,45253,21,4,Full-time,101161,36,0.01794589970553293,780,1
46,20000,26,4,Full-time,109154,36,1.115684066785017,517,1
47,69754,10,4,Self-employed,22227,24,0.01794589970553293,845,1
33,24197,12,2,Unemployed,55423,24,0.5788173447714093,547,0
28,20000,19,1,Self-employed,62924,48,0.43839501405754533,479,0
52,25841,11,2,Full-time,94734,60,1.1046900275441713,653,0
19,20000,27,2,Unemployed,42037,48,0.01794589970553293,699,1
47,20000,49,3,Full-time,76098,48,2.0,442,0
44,56297,40,2,Full-time,75177,36,0.3520156637556264,535,0
37,20000,28,5,Self-employed,9449,36,0.8032336736303296,425,0
22,124627,40,2,Full-time,40632,12,0.01794589970553293,749,1
63,26193,37,4,Full-time,66347,48,0.01794589970553293,782,1
43,20289,36,1,Full-time,83403,36,0.23094931242922395,708,0
66,37625,18,2,Full-time,32037,24,0.01794589970553293,653,1
43,32865,36,4,Full-time,52579,36,0.9553782935544083,703,1
30,29751,0,4,Full-time,34742,36,0.2503378130766195,572,1
18,20000,43,4,Full-time,42096,36,0.3932479748522446,586,0
30,20000,44,1,Full-time,11112,36,1.515604089673955,611,0
44,21386,19,1,Part-time,71446,36,0.27961076150266373,629,1
33,20000,14,1,Full-time,85238,48,0.01794589970553293,429,1
50,20000,9,1,Part-time,27431,36,1.5099922509985984,694,0
61,20269,18,1,Unemployed,107811,24,0.943618633983334,642,1
45,20000,12,2,Full-time,77664,24,2.0,493,0
58,60672,39,2,Full-time,51407,36,0.8400521991637635,782,0
33,70677,50,2,Part-time,48024,36,0.16718589742347584,633,1
58,20000,17,2,Full-time,86382,36,0.01794589970553293,581,0
52,87203,10,4,Part-time,77276,60,0.24153865254505222,694,1
35,20000,45,4,Full-time,49020,60,0.30136708817782487,734,0
51,50912,12,2,Full-time,5000,24,0.18509536298232898,584,0
51,21114,23,0,Part-time,61262,12,1.3455172656617846,850,1
43,53865,32,4,Full-time,94566,36,0.2417532872040436,617,0
63,89540,26,2,Full-time,60610,36,0.08054859741014841,843,1
33,23499,3,2,Full-time,74526,36,0.279030085426333,677,1
42,81413,42,2,Full-time,63012,36,1.9170377030955321,429,1
38,37806,14,4,Full-time,109154,36,0.12196236605466404,769,1
22,20000,27,2,Full-time,57128,24,0.01794589970553293,658,1
21,173414,17,1,Full-time,46836,36,0.2295945023213214,777,1
39,52705,24,2,Full-time,45259,36,0.01794589970553293,694,1
32,31630,10,1,Full-time,48116,12,0.01794589970553293,785,1
62,232387,31,2,Full-time,16724,36,0.13108780853257085,830,1
34,180016,19,2,Full-time,29047,36,0.01794589970553293,850,1
38,33582,50,2,Full-time,77382,36,1.3391676779239103,805,1
46,213196,0,4,Full-time,80003,36,0.11980605160331531,835,1
49,21766,38,1,Full-time,35269,36,0.5425201927865614,670,1
61,20000,0,2,Part-time,75322,12,0.8973154258669764,649,0
18,20000,36,3,Self-employed,86564,24,0.01794589970553293,635,1
49,45992,37,0,Part-time,19858,48,1.0801386589699962,691,0
43,20000,43,1,Part-time,53742,36,1.0100850902351637,656,1
67,109282,44,2,Full-time,32799,60,0.4165228594239967,732,1
49,73746,18,2,Full-time,76192,36,0.2928422570915853,837,1
58,44366,49,4,Part-time,24785,36,0.1564699154736482,762,0
39,33034,24,2,Full-time,53427,36,0.134481051472654,825,0
47,27257,26,2,Part-time,13447,24,0.5132133963918908,736,1
52,27758,21,2,Self-employed,5000,36,0.03585542652665727,742,1
46,183767,14,3,Full-time,28168,24,0.1518779911760451,557,1
76,63086,29,2,Full-time,92295,60,0.10784747728763311,725,0
47,20000,16,2,Part-time,72727,48,2.0,684,0
40,20000,12,2,Full-time,63090,24,0.22811451070255653,649,0
39,33597,40,2,Full-time,95542,36,0.01794589970553293,717,1
76,20000,22,4,Full-time,46910,36,0.43889996932002406,533,1
40,57630,34,1,Self-employed,52914,36,0.7780752377408794,549,0
39,38123,12,1,Full-time,63024,36,1.0823713800213062,780,1
18,20000,28,2,Self-employed,45028,24,0.5965835224001932,633,1
54,20000,16,3,Self-employed,49188,24,0.05320621550653282,552,0
52,20000,23,2,Full-time,108946,12,1.0331896908190932,474,0
47,28135,14,1,Full-time,77044,36,0.18912144351757001,565,1
25,20000,12,1,Full-time,81689,36,2.0,425,0
39,29909,25,2,Full-time,25107,36,0.8652675294827541,724,0
48,20000,34,1,Part-time,109154,36,1.434016839158438,688,0
33,20000,18,1,Full-time,67979,24,0.05565521054278333,425,0
34,114292,22,1,Full-time,50178,36,0.20344424081914275,792,1
61,20686,0,0,Full-time,13913,36,0.01794589970553293,628,1
54,83719,23,4,Full-time,32432,36,0.5089709019542004,836,1
44,20000,30,2,Full-time,109154,36,2.0,434,1
42,20000,15,1,Full-time,88911,36,0.6039258623809222,519,0
41,20000,22,2,Full-time,48731,60,0.01794589970553293,491,1
35,20000,21,2,Part-time,72791,36,0.2499733956060728,675,0
48,20000,22,0,Full-time,39496,60,0.0268273516039087,529,0
48,138057,29,2,Unemployed,5000,36,0.01794589970553293,849,1
34,232387,25,2,Full-time,53615,48,0.01794589970553293,798,1
43,20000,12,3,Full-time,101973,36,0.18677575449712674,688,0
39,20000,16,2,Part-time,5000,24,0.4186012541816184,636,0
33,20000,20,1,Full-time,81489,36,1.8628919279288911,495,0
76,20000,14,4,Full-time,52068,60,0.537973533102927,683,1
25,20000,16,2,Full-time,103464,36,0.1778070352472468,833,1
30,80616,12,2,Full-time,11111,36,0.01794589970553293,831,1
47,39355,28,4,Full-time,70015,48,0.01794589970553293,642,1
42,21686,4,0,Part-time,25451,36,0.4696493921171797,577,0
18,65472,22,2,Self-employed,53678,36,0.5556112553928757,829,1
31,20000,46,1,Full-time,47841,12,0.4438915170828724,842,0
53,33811,4,0,Self-employed,5000,36,0.01794589970553293,716,1
33,71261,32,4,Full-time,18485,48,0.01794589970553293,608,1
30,60664,41,4,Full-time,51520,36,0.01794589970553293,768,1
37,39399,18,2,Full-time,109154,36,0.01794589970553293,763,1
34,24690,12,2,Full-time,15737,12,0.38605810489874787,649,1
29,20000,12,2,Full-time,61978,36,0.6286545387312659,652,1
41,23903,25,2,Full-time,84027,36,0.17526244165956065,799,0
41,36295,16,0,Self-employed,42691,24,0.01794589970553293,649,1
41,98097,49,3,Full-time,73484,24,2.0,782,1
47,20000,41,4,Full-time,5017,36,0.15670791680947738,462,0
47,20000,26,1,Self-employed,109154,36,2.0,466,0
23,20000,48,4,Part-time,94236,24,0.4168780093411916,485,1
