age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
37,55260,21,1,Full-time,5000,36,0.8962638220520476,738,0
21,124341,30,2,Self-employed,15994,24,0.04115543688045219,850,1
32,64720,26,1,Full-time,5000,48,0.14943856384667958,612,0
30,47561,24,2,Full-time,70220,12,0.6105509081126438,718,0
39,20000,13,3,Full-time,76708,48,1.1678011231916003,683,0
42,74129,33,6,Full-time,60370,36,0.20038972121966891,579,0
25,72619,0,2,Full-time,48401,36,0.01794589970553293,850,1
30,69970,20,1,Full-time,43712,36,0.13030832828803673,723,0
64,29783,18,3,Full-time,24356,36,1.6729735019845107,795,0
42,55345,16,1,Full-time,5000,24,0.01794589970553293,850,1
37,37268,11,1,Part-time,62150,48,0.3516159592068166,744,1
32,20000,14,2,Part-time,109154,36,0.9112549339880053,531,0
57,76568,31,1,Full-time,18505,36,0.38870710142814174,454,0
42,30438,7,0,Self-employed,38801,24,0.7857942595195306,799,1
36,50616,13,2,Full-time,56077,36,0.01794589970553293,563,1
59,37863,14,3,Self-employed,34137,24,0.15048111507176054,743,1
44,67990,4,2,Full-time,36228,24,0.01794589970553293,700,1
30,56228,27,2,Part-time,43135,36,0.13661359066259615,849,1
25,145540,10,1,Full-time,44542,24,0.01794589970553293,850,1
29,101983,29,3,Self-employed,106822,12,1.5447990595127647,425,0
45,55595,14,1,Part-time,72599,36,2.0,524,0
48,135618,22,4,Full-time,10299,36,0.01794589970553293,798,1
50,232387,16,1,Full-time,5000,36,0.01794589970553293,846,1
31,68832,17,0,Full-time,5000,24,0.09948757314549755,715,1
28,55214,14,2,Full-time,51674,24,0.01794589970553293,850,1
32,25671,23,4,Full-time,63050,36,0.8683640192772552,425,0
56,159828,22,2,Full-time,37634,36,0.01794589970553293,850,0
47,81764,8,8,Self-employed,23125,24,0.25779909701533643,627,1
29,80109,1,2,Self-employed,33623,48,0.24322070528257578,754,0
34,31548,24,4,Full-time,50685,36,0.6409674583307068,508,0
70,103414,3,1,Full-time,16414,36,0.01794589970553293,846,1
40,62676,33,1,Full-time,52699,60,0.07034778785707425,619,0
43,232387,31,1,Full-time,60968,48,0.042695463576702064,578,1
49,132916,21,4,Full-time,5000,36,0.06838797999392437,839,1
33,232387,39,2,Full-time,5000,48,2.0,581,1
51,31660,42,3,Full-time,14737,36,0.912566856315736,705,1
21,75742,33,4,Full-time,50482,36,0.32686484941190996,714,1
21,85227,1,1,Full-time,48005,48,0.1954033452963328,643,1
38,38982,29,3,Full-time,19849,36,0.060063183200360026,642,1
43,232387,22,1,Full-time,5000,36,0.01794589970553293,850,1
39,20000,50,3,Full-time,81303,36,1.8881245580985282,599,0
27,166103,13,2,Full-time,106445,24,1.1993933053354335,425,0
42,66372,15,2,Part-time,109154,12,1.9061309702484497,458,0
25,202341,20,2,Full-time,10373,24,0.2903112089194097,425,1
32,37985,30,2,Full-time,15944,24,0.203038565806123,679,0
58,232387,30,3,Full-time,13232,24,0.09244731806114373,850,1
42,122089,28,2,Full-time,5000,36,0.01794589970553293,850,1
51,20000,42,1,Full-time,43594,36,0.4876734592763572,524,1
46,232387,28,3,Full-time,5000,36,2.0,511,0
49,73869,3,3,Unemployed,74124,36,0.01794589970553293,575,1
43,115395,39,1,Self-employed,27605,36,0.4966384808419726,743,1
33,108843,29,3,Full-time,55086,48,0.6884694226886284,593,0
46,20000,25,1,Self-employed,109154,36,0.6146108227684315,425,0
47,96843,12,4,Full-time,18437,36,0.01794589970553293,850,1
53,20000,24,3,Self-employed,41875,36,1.1821822739692138,673,0
56,102295,18,1,Full-time,5000,36,0.01794589970553293,850,1
46,135167,20,1,Full-time,5000,36,0.08525628960394287,734,1
32,66801,23,0,Full-time,69148,48,1.625322378313348,687,0
43,231510,29,1,Full-time,16293,48,0.01794589970553293,793,1
41,232387,18,0,Full-time,19271,36,0.01794589970553293,697,1
30,129546,12,0,Full-time,24284,36,0.626448731993297,425,0
31,58259,4,4,Full-time,29437,48,0.01794589970553293,799,1
51,147342,25,1,Full-time,14145,60,0.044100111220894606,755,1
42,200653,8,1,Full-time,5000,48,0.01794589970553293,850,1
56,232387,26,1,Full-time,13292,48,0.01794589970553293,792,1
31,22715,25,0,Self-employed,59576,48,1.1364979720416508,425,0
47,89197,30,3,Full-time,5000,48,0.36076161744064134,850,0
39,37652,46,2,Full-time,40776,24,0.6489845457712082,622,1
52,38447,48,3,Full-time,26403,36,0.22613132307331577,603,1
33,107054,8,4,Full-time,45431,36,0.3859831965969349,831,1
47,35687,45,1,Full-time,47327,24,0.31674617698775354,635,1
36,56769,5,0,Full-time,49445,24,0.1429172654710098,850,1
49,20000,32,2,Full-time,71589,24,0.8136427425602903,661,0
25,132346,30,1,Full-time,80026,48,0.01794589970553293,850,1
38,139451,23,2,Full-time,25551,36,0.8894254239278016,804,1
45,77880,42,2,Full-time,10187,48,0.01794589970553293,821,1
52,73199,28,1,Full-time,5000,36,0.37406928608903306,472,1
24,20000,18,1,Self-employed,109154,24,0.048441013630924346,766,0
58,72345,7,4,Part-time,5000,36,0.5761714011951996,694,1
67,91982,11,2,Part-time,62448,48,1.0350888188431804,460,0
65,41110,50,2,Full-time,70301,24,0.8054191624339864,738,1
47,31797,17,2,Full-time,63157,48,1.0474456293546637,474,0
27,130520,29,1,Full-time,5394,60,0.01794589970553293,772,1
48,82446,40,2,Part-time,5000,36,0.34037630608906344,766,1
43,232387,9,2,Full-time,32003,12,0.7594746339900145,667,0
37,83089,40,5,Full-time,22852,36,0.018761225985437724,850,1
58,20000,19,3,Part-time,109154,48,1.018449982588348,425,0
40,88863,1,2,Full-time,59070,36,0.45579311997352634,679,0
34,55614,12,1,Full-time,48282,36,0.36422879121873386,722,1
65,137076,15,2,Full-time,88678,36,0.01794589970553293,780,1
49,65396,9,2,Full-time,19104,24,0.01794589970553293,721,1
60,20000,13,4,Full-time,47273,48,0.31459240320876314,728,1
42,75435,5,4,Full-time,49380,24,0.8594815232501432,425,0
30,57167,45,1,Full-time,11308,48,0.22738297647635328,801,1
47,137875,17,1,Full-time,5000,36,0.01794589970553293,841,1
72,43183,22,1,Self-employed,31766,48,0.13703069910479554,503,1
69,20000,41,2,Full-time,73050,36,0.9953940769672001,425,0
22,20000,9,1,Full-time,109154,24,2.0,425,0
54,21303,28,1,Full-time,86574,24,0.01794589970553293,759,0
37,180066,12,1,Full-time,5000,36,0.2458645374216539,776,1
19,32685,39,3,Part-time,9198,12,1.7024126457695445,425,0
45,84668,24,1,Full-time,19697,36,0.01794589970553293,548,1
20,21932,37,2,Full-time,41405,24,0.06146718436454279,441,0
57,20000,9,1,Full-time,103268,12,0.7412662965884069,425,1
24,32268,7,1,Self-employed,105665,48,0.8170873921209572,425,0
63,20000,5,4,Full-time,71180,36,0.6943083472715345,668,1
30,187641,18,2,Full-time,109154,36,0.01794589970553293,802,1
54,67875,24,4,Full-time,5000,36,0.11077748067104624,761,1
