age,income,category,experience_years,department,salary_band,performance_score,location
29,59413,C,4,Engineering,Mid,8.93511518377938,San Francisco
42,95263,A,14,Sales,Senior,9.3,Austin
40,83686,C,10,Engineering,Senior,8.495849874726513,Los Angeles
32,65757,C,6,Engineering,Senior,7.250608150182656,San Francisco
39,86364,A,11,Sales,Junior,8.36739266190802,Chicago
27,54994,A,2,Marketing,Mid,7.351147442963313,San Francisco
38,85366,A,11,Sales,Senior,8.435437707430609,Los Angeles
35,76208,A,8,Marketing,Mid,7.933059177472822,Boston
34,77404,B,8,Sales,Principal,8.934568171647689,Austin
25,50000,B,1,Engineering,Senior,6.8,San Francisco
32,69905,C,6,Marketing,Mid,8.391621966948072,Austin
31,68058,B,5,Engineering,Junior,7.222851246013288,San Diego
40,87269,A,11,Sales,Senior,7.585436197642557,Portland
26,53317,A,2,Marketing,Senior,7.666408057645929,New York
25,50000,A,1,Engineering,Senior,7.197882143594853,San Diego
37,85813,B,10,Engineering,Senior,9.3,Los Angeles
38,91766,A,12,Engineering,Mid,9.3,Austin
26,53990,A,2,Sales,Junior,8.09934383267631,Chicago
37,81570,B,9,Engineering,Mid,8.495665060372971,New York
39,87995,B,10,Sales,Mid,8.946720313954778,Miami
44,100979,A,14,Marketing,Mid,8.729990937857519,San Francisco
42,91097,C,11,Sales,Junior,8.220472125469426,San Francisco
44,108095,A,15,Marketing,Mid,9.3,Los Angeles
33,73771,A,8,Marketing,Senior,8.601299826265478,Portland
35,77787,B,8,Marketing,Mid,8.336835791434797,Phoenix
27,52571,C,1,Engineering,Senior,6.8,Nashville
42,97292,A,13,Marketing,Junior,9.170455994073084,Los Angeles
33,69458,B,6,Sales,Junior,7.472169570096538,Portland
41,91573,A,12,Marketing,Senior,8.659058936321031,Miami
35,79287,A,9,Marketing,Junior,8.511945447094094,Denver
25,50000,B,1,Engineering,Senior,6.8,Seattle
41,95611,A,12,Engineering,Senior,9.000942313713438,Phoenix
25,50000,A,1,Sales,Senior,6.8,San Francisco
31,64866,A,6,Sales,Mid,8.177758970230943,San Francisco
45,104926,A,15,Engineering,Junior,9.11058907235371,San Francisco
32,65044,A,5,Marketing,Junior,6.970459469252973,Miami
