age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
19,69370,-5,1,Full-time,37810,24,2.4939426496495445,484,0
33,77548,22,2,Part-time,56876,36,-0.07829007600032611,492,1
29,3698,5,2,Full-time,72316,36,0.20742835247974017,556,0
33,122550,5,2,Full-time,18829,24,1.4203761008135176,473,0
20,69276,19,1,Full-time,75684,60,0.8132069496465091,354,1
32,52181,19,1,Full-time,70835,24,0.3153864855707319,557,1
24,69978,-2,5,Full-time,57091,36,0.9389400644666452,780,1
17,64903,4,2,Unemployed,35192,48,0.08483463460154765,445,1
48,27032,23,3,Full-time,28774,48,0.7552488590161124,533,1
25,68822,-7,8,Full-time,85964,48,1.2150088130374184,528,1
25,108069,1,3,Self-employed,29440,36,1.1264800275669522,644,1
41,64139,9,1,Full-time,108103,36,0.13786971533219178,412,0
26,27860,23,1,Self-employed,97960,48,1.7833948624468152,615,1
12,168175,4,3,Full-time,48398,36,0.6916172321465923,418,0
40,64488,-3,3,Full-time,104024,36,0.723671505016812,699,0
45,128731,22,3,Full-time,96091,36,0.17906322548748044,456,1
8,43831,-4,2,Self-employed,40807,48,0.3548360150866281,594,1
25,107435,23,3,Unemployed,31566,24,0.31696759267070684,475,0
26,127013,16,3,Full-time,80962,24,0.2072931159043106,509,0
12,108801,14,0,Full-time,21310,36,0.6823084216296113,561,1
16,109109,-2,1,Self-employed,56866,12,0.922422227798243,555,0
22,69390,17,4,Self-employed,56978,48,0.32632123605564334,528,1
38,83163,14,0,Part-time,40097,36,0.5923309597560403,606,0
10,36824,1,1,Full-time,30492,60,0.5239722951182657,623,0
22,107704,-2,0,Part-time,55282,24,1.3590496195374424,529,1
16,190038,26,5,Part-time,58678,36,2.194424722840195,421,1
39,36308,-4,2,Full-time,72915,36,0.6182960067524059,462,1
19,23498,37,1,Part-time,60583,24,1.3602230138435754,668,0
49,137039,33,0,Unemployed,114108,48,1.5185862327853514,608,1
21,45852,8,5,Full-time,75942,12,0.35218584276243003,818,0
43,60419,34,1,Full-time,103695,48,0.9984617670765983,616,1
14,40215,0,1,Full-time,124937,60,0.7147247210705431,512,0
53,126935,19,1,Unemployed,100671,24,1.918849233796554,474,0
58,32074,5,2,Full-time,91454,12,1.2207310335603943,614,1
21,67171,2,6,Full-time,25992,48,1.0850714808950572,536,0
48,35792,4,3,Part-time,84375,48,0.8610735345202079,469,0
9,33902,-6,1,Full-time,22726,36,0.4073553377887202,536,0
16,23623,0,3,Self-employed,78706,48,0.35560988403357235,784,0
33,38835,9,2,Full-time,87164,36,0.315142791223938,716,0
45,107163,24,5,Full-time,104858,12,0.3476419953821588,540,1
17,50698,13,1,Full-time,59523,24,0.976389546429768,445,1
27,101535,-7,4,Part-time,82756,36,0.18374853532684168,483,1
40,29149,3,3,Full-time,49400,24,0.32149091248157946,637,1
23,118354,14,0,Full-time,115216,36,1.3967910962396093,823,1
13,103396,18,1,Full-time,35708,48,0.27694221450280065,506,0
14,40268,-6,3,Full-time,62510,36,0.34532959882091635,664,0
14,78680,8,1,Part-time,93770,36,0.17620355317295866,372,0
15,58892,7,3,Self-employed,11178,12,0.4447938068449027,359,0
38,163278,4,2,Part-time,99598,36,1.6108337571176967,576,0
8,76634,-6,0,Part-time,72345,48,1.2192105168560063,648,1
24,80591,0,4,Part-time,59996,36,0.6692683006769057,537,1
28,70427,-2,4,Full-time,77002,36,0.8106633919508627,520,1
16,35790,26,1,Part-time,86738,48,1.0544611390673266,551,0
33,122698,1,2,Full-time,117999,12,0.4862696145790147,752,0
34,92797,35,5,Full-time,53898,36,1.5267853382012242,458,1
29,79262,-1,3,Full-time,68425,24,1.3373477756013283,488,1
46,110125,16,5,Full-time,108051,36,0.05689444169066597,503,1
16,36200,-13,4,Full-time,17613,24,0.6510337015794369,421,0
42,135006,-3,2,Full-time,34847,36,0.8786284599437699,439,1
38,26899,40,3,Full-time,108527,36,0.457337838000783,693,1
13,65745,21,4,Part-time,41746,24,0.752667236453322,526,1
31,106087,22,1,Full-time,24212,36,2.063705497437124,630,1
34,48951,14,2,Full-time,73906,36,0.10515740052771635,591,1
48,60217,21,1,Full-time,46302,48,0.9945784913192703,625,1
38,28372,2,2,Full-time,74076,36,0.48929030862524797,397,0
