age,income,credit_history_years,existing_loans,employment_type,loan_amount,loan_term_months,debt_to_income_ratio,credit_score,loan_approved
34,13631,15,2,Full-time,122814,36,0.8976922929024242,779,0
40,58858,15,1,Self-employed,29412,60,0.7411598161648993,658,1
66,26693,49,1,Full-time,59160,36,1.803726478259961,751,0
54,28395,29,5,Part-time,48993,48,0.9756809929575909,946,0
36,28931,39,4,Full-time,100165,48,2.330492360208325,641,1
47,116069,29,2,Self-employed,41183,24,0.2867817265200936,835,1
27,55875,46,0,Part-time,47511,36,1.164122888469973,656,0
52,17321,59,1,Part-time,53647,12,0.37288758925604265,796,0
73,63400,42,2,Full-time,81570,48,0.7387038725050099,767,0
61,207733,56,4,Part-time,71655,36,0.8209047665606624,784,0
50,33556,27,4,Self-employed,68608,48,1.7554715846211557,849,1
61,114734,31,1,Full-time,16361,48,0.35216079372214115,799,0
58,154944,18,2,Full-time,130219,60,0.43372662453419036,799,1
40,111282,59,1,Full-time,40446,24,0.8712156690908548,882,0
64,83895,32,4,Full-time,51309,48,0.8453241013282148,899,0
48,73358,42,1,Part-time,154723,36,0.9147342439529792,924,0
31,86400,46,5,Self-employed,126545,36,0.4015074030911344,891,1
39,80402,37,2,Part-time,93391,24,2.519270557496445,776,1
62,28867,-2,0,Part-time,66243,48,0.21602728282278377,803,1
42,70510,49,8,Part-time,86329,12,1.9360270461074482,695,1
27,54200,15,1,Full-time,65088,24,0.36212369502947167,755,0
43,61896,18,1,Full-time,48185,36,2.829328409295131,665,1
59,185622,24,0,Full-time,53836,12,1.824344307090219,697,0
57,120962,45,0,Full-time,84868,48,0.8721209204746964,704,0
34,106601,9,0,Full-time,40686,36,1.5054129208831084,774,0
69,62425,57,2,Full-time,81989,60,1.0629287640497385,713,1
69,44532,13,3,Part-time,100849,24,0.20484182581301782,786,1
33,70739,33,0,Part-time,46051,48,0.49366781367795415,832,1
53,222964,37,3,Self-employed,39487,36,0.9550033037578374,782,1
39,105875,29,2,Full-time,80861,48,0.389695783474848,732,0
60,93480,22,1,Part-time,46354,12,1.4855263249021777,640,1
46,134397,43,2,Full-time,96552,60,1.3561318238329527,919,0
33,39282,30,5,Self-employed,86903,60,0.9408919998122924,706,0
61,102529,20,0,Full-time,30456,36,1.130514774099649,922,0
56,76095,8,3,Full-time,102579,24,0.5854297906113931,784,1
67,25309,51,2,Self-employed,64386,60,0.6445170657246132,508,1
54,85569,26,1,Full-time,87966,60,1.8935460192705245,720,0
71,95871,31,1,Self-employed,58756,60,0.8120573239331779,908,0
56,68372,42,6,Full-time,26502,60,1.3578610077098103,823,1
52,80035,3,3,Part-time,87381,36,0.5687553611235736,910,0
48,73319,20,1,Part-time,107969,12,0.8669591290760318,758,0
46,43575,36,2,Self-employed,33335,24,1.505537905397862,681,1
40,32628,38,2,Full-time,36195,48,1.1117560288386459,632,1
53,77118,57,2,Self-employed,100361,60,0.6400042215121001,687,1
59,104150,34,0,Full-time,42319,12,0.30638055443259504,582,1
57,29885,13,1,Full-time,46481,36,0.4794359933682852,632,0
35,81791,24,0,Full-time,87932,36,0.886915936240334,540,0
53,36545,45,6,Unemployed,31537,36,0.5249636878411743,738,1
40,34124,8,1,Part-time,81760,48,0.8988701399772612,913,0
79,30970,19,2,Full-time,95138,36,2.6681425108224524,615,0
